username,prob_name,category,code,grade,timestamp,date,time,correct,practice,quiz_time,mastery,mastery_timestamp,mastery_date,mastery_time,probs_before_mastery,time_to_mastery
AyaA2,AP,AP,ap_ra,4,2024-10-09 09:31:36,2024-10-09,09:31:36,0,0,2024-10-09 09:30:16,0,,,,309,0 days 00:00:00
AyaA2,AP,AP,ap_rp,4,2024-10-09 09:35:21,2024-10-09,09:35:21,1,0,2024-10-09 09:30:16,0,,,,313,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-10-09 09:36:39,2024-10-09,09:36:39,1,0,2024-10-09 09:35:31,0,,,,315,0 days 00:00:00
AyaA2,AP,AP,ap_rp,4,2024-10-09 09:39:09,2024-10-09,09:39:09,1,0,2024-10-09 09:35:31,0,,,,317,0 days 00:00:00
AyaA2,AP,AP,ap_rs,4,2024-10-09 09:40:47,2024-10-09,09:40:47,1,0,2024-10-09 09:35:31,0,,,,318,0 days 00:00:00
AyaA2,AP,AP,ap_2rs,4,2024-10-09 09:46:59,2024-10-09,09:46:59,0,0,2024-10-09 09:35:31,0,,,,325,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-10-15 10:23:50,2024-10-15,10:23:50,1,0,2024-10-15 10:21:48,0,,,,433,0 days 00:00:00
AyaA2,AP,AP,ap_rp,4,2024-10-15 10:26:15,2024-10-15,10:26:15,1,0,2024-10-15 10:21:48,0,,,,433,0 days 00:00:00
AyaA2,AP,AP,ap_rs,4,2024-10-15 10:26:44,2024-10-15,10:26:44,0,0,2024-10-15 10:21:48,0,,,,433,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:57:55,2024-11-18,09:57:55,1,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:58:07,2024-11-18,09:58:07,1,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:58:36,2024-11-18,09:58:36,1,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:59:13,2024-11-18,09:59:13,1,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:59:20,2024-11-18,09:59:20,1,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 09:59:31,2024-11-18,09:59:31,1,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 10:00:32,2024-11-18,10:00:32,1,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 10:00:41,2024-11-18,10:00:41,1,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-18 10:01:19,2024-11-18,10:01:19,0,1,,0,,,,139,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:15:23,2024-11-20,11:15:23,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:16:17,2024-11-20,11:16:17,0,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:17:16,2024-11-20,11:17:16,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:17:25,2024-11-20,11:17:25,0,1,,0,,,,2,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:17:57,2024-11-20,11:17:57,1,1,,0,,,,3,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:18:05,2024-11-20,11:18:05,1,1,,0,,,,4,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:18:43,2024-11-20,11:18:43,0,1,,0,,,,8,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:18:57,2024-11-20,11:18:57,1,1,,0,,,,9,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:19:17,2024-11-20,11:19:17,1,1,,0,,,,10,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:19:55,2024-11-20,11:19:55,0,1,,0,,,,14,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:20:30,2024-11-20,11:20:30,1,1,,0,,,,16,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-20 11:21:05,2024-11-20,11:21:05,1,1,,0,,,,19,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:45:10,2024-11-25,09:45:10,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:45:16,2024-11-25,09:45:16,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:45:34,2024-11-25,09:45:34,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:46:05,2024-11-25,09:46:05,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:48:13,2024-11-25,09:48:13,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:48:51,2024-11-25,09:48:51,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:48:58,2024-11-25,09:48:58,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:49:27,2024-11-25,09:49:27,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:49:33,2024-11-25,09:49:33,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:49:41,2024-11-25,09:49:41,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:49:47,2024-11-25,09:49:47,1,1,,0,,,,0,0 days 00:00:00
AyaA2,AP,AP,ap_ra,4,2024-11-25 09:49:56,2024-11-25,09:49:56,1,1,,0,,,,0,0 days 00:00:00
